Year,Gold,Silver
2022,52950,55100
2021,50045,62572
2020,48651,63435
2019,35220,40600
2018,31438,41400
2017,29667,37825
2016,28623,36990
2015,26343,37825
2014,28006,43070
2013,29600,54030
2012,31050,56290
2011,26400,56900
2010,18500,27255
2009,14500,22165
2008,12500,23625
2007,10800,19520
2006,8400,17405
2005,7000,10675
2004,5850,11770
2003,5600,7695
2002,4990,7875
2001,4300,7215
2000,4400,7900
1999,4234,7615
1998,4045,8560
1997,4725,7345
1996,5160,7346
1995,4680,6335
1994,4598,7124
1993,4140,5489
1992,4334,8040
1991,3466,6646
1990,3200,6463
1989,3140,6755
1988,3130,6066
1987,2570,4794
1986,2140,4015
1985,2130,3955
1984,1970,3570
1983,1800,3105
1982,1645,2725
1981,1800,2715
